id_user;computador_pessoal;gosto_jogos;frequencia_jogos;gosto_jogos_aventura;gosto_jogos_luta_acao;gosto_jogos_rpg;gosto_jogos_puzzle;gosto_jogos_esporte;ja_jogou_rpg_eletronico;ja_jogou_rpg_mesa;sexo;ano_nascimento;estado_civil;filhos
4933;2;1;1;1;1;1;1;1;1;1;1;2020;1;2
4934;2;1;1;1;1;1;1;1;1;1;1;2020;1;2
4935;2;1;1;1;1;1;1;1;1;1;1;2020;1;2
4936;2;1;1;1;1;1;1;1;1;1;1;2020;1;2
4937;2;1;1;1;1;1;1;1;1;1;1;2020;1;2
4938;2;1;1;1;1;1;1;1;1;1;1;2020;1;2
4939;2;1;1;1;1;1;1;1;1;1;1;2020;1;2
4940;2;1;1;1;1;1;1;1;1;1;1;2020;1;2
4941;2;1;1;1;1;1;1;1;1;1;1;2020;1;2
4942;2;1;1;1;1;1;1;1;1;1;1;2020;1;2
4943;2;1;1;1;1;1;1;1;1;1;1;2020;1;2
4944;2;1;1;1;1;1;1;1;1;1;1;2020;1;2
4945;2;1;1;1;1;1;1;1;1;1;1;2020;2;2
4946;2;1;1;1;1;1;1;1;1;1;1;2020;1;2
4949;2;1;1;1;1;1;1;1;1;1;1;2020;1;2
4950;2;3;4;1;1;1;1;1;4;4;1;2000;1;2
4972;1;5;5;3;5;5;2;2;4;5;2;2001;2;1
4973;1;1;1;2;1;3;2;1;2;3;1;1999;1;2
4974;1;2;3;1;1;4;2;1;2;2;1;1989;1;2
4975;1;1;1;1;1;1;3;3;2;4;2;1997;1;2
4976;1;3;4;1;2;3;3;2;4;4;2;2020;1;2
4977;1;4;4;4;5;5;2;5;4;4;2;1998;1;2
4978;1;2;4;1;2;2;2;3;2;4;2;1998;1;2
4979;1;4;4;4;5;3;2;5;4;4;2;2001;1;2
4980;1;3;4;2;2;2;3;5;2;5;2;2002;1;2
4981;1;1;1;2;4;4;2;3;3;4;2;2000;1;2
4982;2;5;5;5;5;5;5;5;5;5;2;2002;1;2
4983;1;2;2;2;2;3;2;1;1;4;1;2000;1;1
4984;1;3;4;2;3;2;2;4;2;5;2;2002;1;2
4985;1;1;2;1;2;2;3;2;2;4;1;2002;1;2
4986;1;2;1;2;2;2;1;3;2;2;2;2000;1;2
4987;2;4;4;4;4;4;3;1;5;5;1;2001;1;2
4988;1;1;4;1;1;3;3;4;1;4;1;2001;1;2
4989;1;1;3;1;1;2;1;1;4;4;2;2001;1;2
4990;2;5;5;3;4;3;2;1;3;5;2;2002;1;2
4991;1;1;2;1;1;2;1;3;2;3;2;2002;1;2
4992;1;4;3;1;2;2;3;3;2;4;1;2002;1;2
4993;1;2;3;2;1;3;2;2;2;4;1;2001;1;2
4994;1;2;4;3;2;1;4;2;1;2;1;2002;1;2
4995;1;5;4;2;3;3;2;4;5;4;2;2003;1;2
4996;1;1;1;2;1;1;3;2;2;4;1;2002;1;2
4997;2;1;2;1;1;3;2;1;2;4;1;2001;1;2
5001;2;1;2;1;1;2;3;3;2;4;1;2002;5;2
5003;1;2;4;3;1;3;3;1;2;2;1;2000;1;2
5004;1;1;1;1;1;1;2;5;2;2;1;2001;1;2
5005;1;1;1;2;2;1;2;3;1;3;1;1999;1;2
5006;1;2;4;2;2;4;4;2;3;4;2;2000;1;2
5007;1;1;2;1;3;5;2;2;4;4;1;1999;1;2
5008;1;5;5;5;5;5;5;5;5;5;1;1999;1;2
5009;1;2;3;3;2;3;3;1;1;2;2;1999;1;2
5010;1;2;4;1;1;3;1;4;4;4;2;2000;1;2
